,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
193,391.4519,391.59,391.4519,391.46,115444,10:19:00,391.5,45196326.0,4034048765.21,10311427,391.22,391.5299158700607
194,391.46,391.6,391.45,391.51,130806,10:20:00,391.52,51213165.12,4085261930.33,10442233,391.22,391.5274369025455
195,391.505,391.64,391.47,391.61,91158,10:21:00,391.57,35694738.06,4120956668.39,10533391,391.23,391.5380776769091
196,391.62,391.65,391.38,391.51,141075,10:22:00,391.51,55232273.25,4176188941.64,10674466,391.23,391.5310582576818
197,391.52,391.59,391.29,391.39,115447,10:23:00,391.42,45188264.74,4221377206.38,10789913,391.23,391.5032936932614
198,391.4,391.63,391.37,391.6,169217,10:24:00,391.53,66253532.01,4287630738.39,10959130,391.24,391.50997026994605
199,391.595,391.87,391.595,391.8,139348,10:25:00,391.76,54590972.48,4342221710.87,11098478,391.24,391.57247770245954
200,391.79,391.84,391.76,391.81,89043,10:26:00,391.8,34887047.4,4377108758.27,11187521,391.25,391.62935827684464
201,391.8081,391.87,391.76,391.85,120327,10:27:00,391.83,47147728.41,4424256486.68,11307848,391.26,391.67951870763346
202,391.86,392.035,391.84,392.03,172684,10:28:00,391.97,67686947.48,4491943434.16,11480532,391.27,391.7521390307251
203,392.03,392.06,392.0,392.06,139407,10:29:00,392.04,54653120.28,4546596554.44,11619939,391.28,391.8241042730438
204,392.05,392.2,392.05,392.175,153223,10:30:00,392.14,60084867.22,4606681421.66,11773162,391.29,391.9030782047829
205,392.175,392.25,392.13,392.22,147828,10:31:00,392.2,57978141.6,4664659563.26,11920990,391.3,391.97730865358716
206,392.225,392.35,392.12,392.19,421461,10:32:00,392.22,165305433.42,4829964996.68,12342451,391.33,392.03798149019036
207,392.19,392.24,392.04,392.07,218404,10:33:00,392.12,85640576.48,4915605573.16,12560855,391.34,392.0584861176428
208,392.0719,392.16,392.05,392.13,149942,10:34:00,392.11,58793757.62,4974399330.78,12710797,391.35,392.0713645882321
209,392.12,392.2,392.073,392.089,139265,10:35:00,392.12,54608591.8,5029007922.58,12850062,391.36,392.08352344117407
210,392.09,392.18,392.08,392.0886,106195,10:36:00,392.12,41641183.4,5070649105.98,12956257,391.37,392.0926425808806
211,392.08,392.085,391.98,392.0,183459,10:37:00,392.02,71919597.18,5142568703.16,13139716,391.38,392.0744819356604
212,392.0,392.0883,391.97,392.065,166473,10:38:00,392.04,65264074.92,5207832778.08,13306189,391.38,392.06586145174526
213,392.07,392.17,391.92,392.01,165348,10:39:00,392.03,64821376.44,5272654154.52,13471537,391.39,392.05689608880897
214,392.02,392.08,391.9701,392.06,119554,10:40:00,392.04,46869950.16,5319524104.68,13591091,391.4,392.0526720666067
215,392.06,392.17,392.06,392.1,128789,10:41:00,392.11,50499454.79,5370023559.47,13719880,391.4,392.067004049955
216,392.095,392.12,392.02,392.04,80765,10:42:00,392.06,31664725.9,5401688285.37,13800645,391.41,392.0652530374663
217,392.0695,392.1196,392.03,392.07,96321,10:43:00,392.07,37764574.47,5439452859.84,13896966,391.41,392.06643977809966
218,392.08,392.16,392.06,392.12,114286,10:44:00,392.11,44812683.46,5484265543.3,14011252,391.42,392.0773298335747
219,392.11,392.28,392.07,392.08,123143,10:45:00,392.14,48289296.02,5532554839.32,14134395,391.42,392.09299737518097
220,392.085,392.1,392.04,392.08,135386,10:46:00,392.07,53080789.02,5585635628.34,14269781,391.43,392.08724803138574
221,392.09,392.15,391.95,391.97,139359,10:47:00,392.02,54631515.18,5640267143.52,14409140,391.44,392.0704360235393
222,391.98,391.98,391.84,391.91,159955,10:48:00,391.91,62687964.05,5702955107.57,14569095,391.44,392.0303270176545
223,391.92,392.0099,391.77,391.8,159533,10:49:00,391.86,62514601.38,5765469708.95,14728628,391.45,391.98774526324087
224,391.805,391.91,391.73,391.88,224043,10:50:00,391.84,87789009.12,5853258718.07,14952671,391.45,391.95080894743063
225,391.8792,391.95,391.81,391.94,89691,10:51:00,391.9,35149902.9,5888408620.97,15042362,391.46,391.9381067105729
226,391.94,391.98,391.76,391.82,162097,10:52:00,391.85,63517709.45,5951926330.42,15204459,391.46,391.9160800329297
227,391.82,391.87,391.77,391.78,165793,10:53:00,391.81,64959355.33,6016885685.75,15370252,391.46,391.8895600246973
228,391.78,391.78,391.625,391.68,122338,10:54:00,391.7,47919794.6,6064805480.35,15492590,391.46,391.84217001852295
229,391.69,391.69,391.545,391.6119,79576,10:55:00,391.62,31163553.12,6095969033.47,15572166,391.47,391.7866275138922
230,391.61,391.61,391.39,391.52,135590,10:56:00,391.51,53084840.9,6149053874.37,15707756,391.47,391.71747063541915
231,391.51,391.64,391.47,391.57,126462,10:57:00,391.56,49517460.72,6198571335.09,15834218,391.47,391.67810297656433
232,391.56,391.56,391.41,391.4411,265938,10:58:00,391.47,104106748.86,6302678083.95,16100156,391.47,391.62607723242326
233,391.44,391.595,391.44,391.51,316938,10:59:00,391.52,124087565.76,6426765649.71,16417094,391.47,391.5995579243174
234,391.52,391.59,391.45,391.48,137386,11:00:00,391.51,53787992.86,6480553642.57,16554480,391.47,391.57716844323807
235,391.48,391.48,391.27,391.41,298074,11:01:00,391.39,116663182.86,6597216825.43,16852554,391.47,391.53037633242855
236,391.42,391.5,391.32,391.5,133520,11:02:00,391.44,52265068.8,6649481894.23,16986074,391.47,391.5077822493214
237,391.5,391.68,391.48,391.66,203693,11:03:00,391.61,79768215.73,6729250109.96,17189767,391.47,391.5333366869911
238,391.6506,391.715,391.63,391.71,260055,11:04:00,391.68,101858342.4,6831108452.36,17449822,391.47,391.57000251524335
239,391.72,391.79,391.68,391.71,89630,11:05:00,391.73,35110759.9,6866219212.26,17539452,391.47,391.61000188643254
240,391.71,391.76,391.67,391.755,71348,11:06:00,391.73,27949152.04,6894168364.3,17610800,391.47,391.6400014148244
241,391.76,391.78,391.7,391.71,55201,11:07:00,391.73,21623887.73,6915792252.03,17666001,391.47,391.6625010611183
242,391.69,391.82,391.65,391.77,176598,11:08:00,391.75,69182266.5,6984974518.53,17842599,391.48,391.6843757958387
243,391.76,391.78,391.6801,391.69,72669,11:09:00,391.72,28465900.68,7013440419.21,17915268,391.48,391.6932818468791
244,391.69,391.73,391.28,391.3,236686,11:10:00,391.44,92648367.84,7106088787.05,18151954,391.48,391.62996138515933
245,391.29,391.33,391.11,391.175,196441,11:11:00,391.2,76847719.2,7182936506.25,18348395,391.47,391.5224710388695
246,391.17,391.195,390.96,391.0,132417,11:12:00,391.05,51781667.85,7234718174.1,18480812,391.47,391.40435327915213
247,390.98,391.1,390.94,390.99,171846,11:13:00,391.01,67193504.46,7301911678.56,18652658,391.47,391.3057649593641
248,391.0,391.1,391.0,391.06,94375,11:14:00,391.05,36905343.75,7338817022.31,18747033,391.47,391.2418237195231
249,391.07,391.08,390.86,390.88,349120,11:15:00,390.94,136484972.8,7475301995.11,19096153,391.46,391.1663677896423
250,390.88,391.17,390.875,391.11,175140,11:16:00,391.05,68488497.0,7543790492.11,19271293,391.45,391.13727584223176
251,391.12,391.18,391.06,391.0988,92118,11:17:00,391.11,36028270.98,7579818763.09,19363411,391.45,391.1304568816738
252,391.09,391.14,390.91,390.98,135876,11:18:00,391.01,53128874.76,7632947637.85,19499287,391.45,391.10034266125535
253,390.99,391.065,390.96,391.045,68930,11:19:00,391.02,26953008.6,7659900646.45,19568217,391.45,391.0802569959415
254,391.05,391.145,391.0,391.02,115506,11:20:00,391.06,45169776.36,7705070422.81,19683723,391.44,391.07519274695613
255,391.03,391.07,390.85,390.98,145307,11:21:00,390.97,56810677.79,7761881100.6,19829030,391.44,391.0488945602171
256,390.99,390.99,390.711,390.83,151912,11:22:00,390.84,59373286.08,7821254386.68,19980942,391.44,390.9966709201628
257,390.83,390.87,390.73,390.73,160370,11:23:00,390.78,62669388.6,7883923775.28,20141312,391.43,390.94250319012207
258,390.73,390.78,390.58,390.63,145374,11:24:00,390.66,56791806.84,7940715582.12,20286686,391.42,390.87187739259156
259,390.65,390.7889,390.58,390.7625,188796,11:25:00,390.71,73764485.16,8014480067.28,20475482,391.42,390.83140804444366
260,390.75,390.83,390.71,390.805,104673,11:26:00,390.78,40904114.94,8055384182.22,20580155,391.42,390.81855603333275
261,390.79,390.84,390.7,390.8101,164660,11:27:00,390.78,64345834.8,8119730017.02,20744815,391.41,390.8089170249996
262,390.83,390.85,390.6,390.69,121985,11:28:00,390.71,47660759.35,8167390776.37,20866800,391.41,390.7841877687497
263,390.68,391.01,390.66,390.99,112340,11:29:00,390.89,43912582.6,8211303358.97,20979140,391.4,390.81064082656223
264,390.99,390.99,390.74,390.8,155392,11:30:00,390.84,60733409.28,8272036768.25,21134532,391.4,390.8179806199217
265,390.81,391.08,390.8,391.01,126430,11:31:00,390.96,49429072.8,8321465841.05,21260962,391.4,390.8534854649413
266,391.0,391.01,390.8799,391.0,76137,11:32:00,390.96,29766521.52,8351232362.57,21337099,391.39,390.880114098706
267,390.998,391.23,390.995,391.18,123268,11:33:00,391.14,48215045.52,8399447408.09,21460367,391.39,390.94508557402946
268,391.18,391.32,391.18,391.24,161482,11:34:00,391.25,63179832.5,8462627240.59,21621849,391.39,391.0213141805221
269,391.2304,391.36,391.2211,391.34,99269,11:35:00,391.31,38844952.39,8501472192.98,21721118,391.39,391.0934856353916
270,391.3381,391.44,391.27,391.435,104861,11:36:00,391.38,41040498.18,8542512691.16,21825979,391.39,391.16511422654366
271,391.45,391.51,391.42,391.49,90947,11:37:00,391.47,35603022.09,8578115713.25,21916926,391.39,391.24133566990776
272,391.495,391.519,391.39,391.4819,84697,11:38:00,391.46,33155487.62,8611271200.87,22001623,391.39,391.2960017524308
273,391.48,391.6,391.435,391.56,126436,11:39:00,391.53,49503487.08,8660774687.95,22128059,391.39,391.3545013143231
274,391.56,391.64,391.45,391.56,108528,11:40:00,391.55,42494138.4,8703268826.35,22236587,391.39,391.40337598574234
275,391.56,391.57,391.5,391.52,72536,11:41:00,391.53,28400020.08,8731668846.43,22309123,391.39,391.43503198930676
276,391.54,391.7196,391.53,391.715,79125,11:42:00,391.65,30989306.25,8762658152.68,22388248,391.4,391.4887739919801
277,391.716,391.74,391.68,391.71,159682,11:43:00,391.71,62549036.22,8825207188.9,22547930,391.4,391.5440804939851
278,391.71,391.76,391.66,391.715,85191,11:44:00,391.71,33370166.61,8858577355.51,22633121,391.4,391.58556037048885
279,391.73,391.89,391.69,391.88,79509,11:45:00,391.82,31153216.38,8889730571.89,22712630,391.4,391.64417027786664
280,391.88,391.93,391.62,391.73,464796,11:46:00,391.76,182088480.96,9071819052.85,23177426,391.41,391.6731277084
281,391.73,391.79,391.67,391.71,88046,11:47:00,391.72,34489379.12,9106308431.97,23265472,391.41,391.6848457813
282,391.73,391.81,391.69,391.77,66159,11:48:00,391.76,25918449.84,9132226881.81,23331631,391.41,391.703634335975
283,391.79,391.83,391.74,391.755,46463,11:49:00,391.77,18202809.51,9150429691.32,23378094,391.41,391.7202257519812
284,391.75,391.825,391.73,391.73,58365,11:50:00,391.76,22865072.4,9173294763.72,23436459,391.41,391.7301693139859
