,open,high,low,close,volume,datetime
290,392.545,392.6352,392.52,392.52,130451,1616514720000
291,392.52,392.59,392.47,392.47,59334,1616514780000
292,392.47,392.558,392.45,392.49,67544,1616514840000
293,392.485,392.6,392.37,392.5899,122233,1616514900000
294,392.57,392.71,392.5286,392.675,137387,1616514960000
295,392.6719,392.71,392.63,392.71,55213,1616515020000
296,392.69,392.85,392.65,392.81,85368,1616515080000
297,392.805,392.83,392.67,392.83,95076,1616515140000
298,392.869,392.935,392.79,392.91,89638,1616515200000
299,392.91,393.26,392.91,393.2211,207238,1616515260000
300,393.215,393.35,393.21,393.25,143319,1616515320000
301,393.24,393.2419,393.155,393.24,105611,1616515380000
302,393.24,393.25,393.0,393.015,95477,1616515440000
303,393.01,393.06,392.29,392.44,288924,1616515500000
304,392.43,392.45,392.06,392.33,622523,1616515560000
305,392.32,392.5,392.21,392.4481,167419,1616515620000
306,392.45,392.51,392.41,392.44,66986,1616515680000
307,392.43,392.65,392.43,392.58,211389,1616515740000
308,392.59,392.64,392.49,392.545,131260,1616515800000
309,392.545,392.545,392.32,392.46,112048,1616515860000
310,392.45,392.47,392.275,392.3911,79202,1616515920000
311,392.39,392.52,392.36,392.515,70315,1616515980000
312,392.515,392.515,392.36,392.41,67718,1616516040000
313,392.425,392.58,392.28,392.58,128479,1616516100000
314,392.56,392.62,392.48,392.537,107071,1616516160000
315,392.53,392.54,392.29,392.295,113412,1616516220000
316,392.295,392.38,392.22,392.31,118610,1616516280000
317,392.305,392.5,392.3,392.475,60619,1616516340000
318,392.475,392.65,392.47,392.53,120089,1616516400000
319,392.51,392.51,392.33,392.461,97261,1616516460000
320,392.46,392.62,392.45,392.545,91831,1616516520000
321,392.56,392.78,392.51,392.6825,142017,1616516580000
322,392.7,392.86,392.7,392.81,69057,1616516640000
323,392.815,392.84,392.57,392.69,61503,1616516700000
324,392.683,392.75,392.635,392.7,80067,1616516760000
325,392.7,392.82,392.7,392.815,38476,1616516820000
326,392.8111,392.89,392.73,392.755,61564,1616516880000
327,392.76,392.76,392.41,392.575,106347,1616516940000
328,392.59,392.65,392.42,392.575,61289,1616517000000
329,392.5799,392.66,392.4398,392.52,89455,1616517060000
330,392.525,392.54,392.39,392.42,59476,1616517120000
331,392.42,392.53,392.34,392.47,89117,1616517180000
332,392.48,392.55,392.2,392.22,102648,1616517240000
333,392.215,392.48,392.2043,392.47,77017,1616517300000
334,392.47,392.56,392.39,392.5,75188,1616517360000
335,392.5,392.57,392.49,392.505,32184,1616517420000
336,392.5055,392.76,392.44,392.685,103417,1616517480000
337,392.67,392.84,392.59,392.785,140206,1616517540000
338,392.775,392.8,392.6,392.65,80262,1616517600000
339,392.65,392.69,392.48,392.53,50973,1616517660000
340,392.51,392.51,392.31,392.46,124014,1616517720000
341,392.48,392.5514,392.44,392.515,65253,1616517780000
342,392.5181,392.65,392.48,392.65,40992,1616517840000
343,392.63,392.67,392.51,392.6,54974,1616517900000
344,392.605,392.71,392.59,392.6901,41015,1616517960000
345,392.7,392.7,392.62,392.68,19862,1616518020000
346,392.6889,392.69,392.6,392.69,45700,1616518080000
347,392.68,392.68,392.465,392.4655,53392,1616518140000
348,392.47,392.595,392.441,392.595,40336,1616518200000
349,392.59,392.59,392.4,392.535,58669,1616518260000
350,392.53,392.705,392.46,392.705,62740,1616518320000
351,392.71,392.84,392.69,392.71,146541,1616518380000
352,392.72,392.74,392.66,392.731,35618,1616518440000
353,392.7335,392.95,392.67,392.925,81467,1616518500000
354,392.91,392.93,392.78,392.865,93264,1616518560000
355,392.86,392.94,392.83,392.875,54636,1616518620000
356,392.8781,392.91,392.83,392.835,30730,1616518680000
357,392.83,392.97,392.83,392.968,40864,1616518740000
358,392.95,393.07,392.9492,392.995,79674,1616518800000
359,392.995,393.06,392.94,393.055,58442,1616518860000
360,393.055,393.09,392.91,393.0034,230302,1616518920000
361,393.02,393.07,392.9919,393.036,35034,1616518980000
362,393.04,393.059,392.98,392.9919,61092,1616519040000
363,392.995,393.05,392.8911,393.03,86097,1616519100000
364,393.03,393.11,393.01,393.1089,65280,1616519160000
365,393.11,393.13,392.98,392.99,73886,1616519220000
366,392.985,393.06,392.97,393.0081,32747,1616519280000
367,393.005,393.05,392.98,393.03,32889,1616519340000
368,393.035,393.0599,392.9819,393.05,25533,1616519400000
369,393.045,393.11,393.01,393.08,24277,1616519460000
370,393.0801,393.17,393.04,393.17,45275,1616519520000
371,393.16,393.26,393.16,393.2489,117731,1616519580000
372,393.25,393.27,393.17,393.215,60382,1616519640000
373,393.22,393.27,393.19,393.259,54646,1616519700000
374,393.25,393.31,393.22,393.235,118569,1616519760000
375,393.24,393.25,393.09,393.1,126187,1616519820000
376,393.0915,393.22,393.06,393.145,55573,1616519880000
377,393.1458,393.24,393.13,393.24,43225,1616519940000
378,393.24,393.25,393.1111,393.1111,55942,1616520000000
379,393.115,393.16,393.03,393.08,94253,1616520060000
380,393.09,393.1112,392.92,392.979,130219,1616520120000
381,392.98,393.075,392.965,393.0,84130,1616520180000
382,393.01,393.09,392.99,393.0683,42036,1616520240000
383,393.07,393.11,392.94,392.94,46844,1616520300000
384,392.93,392.94,392.82,392.879,73902,1616520360000
385,392.87,392.935,392.86,392.8914,38137,1616520420000
386,392.88,393.0,392.86,392.96,35673,1616520480000
387,392.95,393.04,392.9301,392.98,64580,1616520540000
388,392.99,393.029,392.82,392.875,130442,1616520600000
389,392.88,392.94,392.83,392.889,33275,1616520660000
390,392.885,392.885,392.7,392.782,82684,1616520720000
391,392.79,392.7991,392.67,392.6789,115432,1616520780000
392,392.675,392.7,392.595,392.62,96736,1616520840000
393,392.6299,392.69,392.61,392.6303,62480,1616520900000
394,392.64,392.77,392.64,392.665,86975,1616520960000
395,392.66,392.67,392.52,392.585,143656,1616521020000
396,392.59,392.62,392.4719,392.545,114993,1616521080000
397,392.545,392.57,392.36,392.38,104778,1616521140000
398,392.3801,392.39,392.31,392.33,90875,1616521200000
399,392.34,392.345,392.18,392.25,176162,1616521260000
400,392.26,392.26,392.1701,392.2,102712,1616521320000
401,392.19,392.2,392.09,392.1199,126676,1616521380000
402,392.12,392.12,391.95,391.97,129854,1616521440000
403,391.97,392.05,391.94,392.02,116331,1616521500000
404,392.02,392.04,391.82,391.845,150524,1616521560000
405,391.84,391.92,391.79,391.83,69746,1616521620000
406,391.82,391.95,391.74,391.93,76668,1616521680000
407,391.93,392.09,391.86,392.0742,183811,1616521740000
408,392.07,392.075,391.8599,391.92,108402,1616521800000
409,391.91,391.97,391.82,391.8881,62837,1616521860000
410,391.88,392.035,391.88,391.96,95647,1616521920000
411,391.965,392.035,391.87,392.0,99063,1616521980000
412,391.99,392.0499,391.93,392.04,79792,1616522040000
413,392.035,392.13,391.95,392.1,142509,1616522100000
414,392.11,392.12,391.94,391.965,59913,1616522160000
415,391.965,392.01,391.87,391.925,59849,1616522220000
416,391.9189,391.9189,391.63,391.675,166164,1616522280000
417,391.665,391.9281,391.665,391.85,152642,1616522340000
418,391.855,391.885,391.65,391.725,140198,1616522400000
419,391.71,391.77,391.64,391.68,194789,1616522460000
420,391.675,391.75,391.633,391.7,208493,1616522520000
421,391.68,391.76,391.64,391.75,56654,1616522580000
422,391.74,391.899,391.74,391.8,125902,1616522640000
423,391.8,391.82,391.53,391.555,240793,1616522700000
424,391.55,391.7,391.47,391.6689,283404,1616522760000
425,391.67,391.71,391.56,391.6419,145659,1616522820000
426,391.65,391.86,391.63,391.79,173134,1616522880000
427,391.8,392.01,391.77,391.997,174933,1616522940000
428,392.005,392.1,391.9,392.03,154586,1616523000000
429,392.02,392.07,391.91,392.0489,95497,1616523060000
430,392.04,392.12,391.9616,392.08,121887,1616523120000
431,392.08,392.1319,392.05,392.09,127021,1616523180000
432,392.1,392.135,391.96,391.985,137514,1616523240000
433,391.985,391.99,391.76,391.815,150552,1616523300000
434,391.81,391.85,391.68,391.815,127214,1616523360000
435,391.81,392.12,391.79,391.95,144363,1616523420000
436,391.95,392.13,391.95,392.0,79622,1616523480000
437,392.0,392.09,391.94,391.945,106250,1616523540000
438,391.95,392.09,391.94,392.025,102600,1616523600000
439,392.03,392.08,391.97,392.04,56623,1616523660000
440,392.04,392.05,391.94,392.02,69521,1616523720000
441,392.025,392.16,391.96,392.15,82839,1616523780000
442,392.159,392.17,392.03,392.1,64274,1616523840000
443,392.09,392.1,391.82,391.86,119284,1616523900000
444,391.86,391.97,391.69,391.96,106242,1616523960000
445,391.9699,392.05,391.92,391.93,86818,1616524020000
446,391.92,392.19,391.92,392.19,93920,1616524080000
447,392.19,392.1919,392.05,392.09,86719,1616524140000
448,392.085,392.17,392.05,392.145,75746,1616524200000
449,392.14,392.245,392.12,392.165,142349,1616524260000
450,392.165,392.22,391.955,391.9955,150644,1616524320000
451,391.98,392.05,391.9316,392.039,67748,1616524380000
452,392.04,392.11,391.82,392.04,141704,1616524440000
453,392.015,392.09,391.96,391.97,88517,1616524500000
454,391.97,392.03,391.735,391.82,134430,1616524560000
455,391.85,391.87,391.67,391.7,80781,1616524620000
456,391.685,391.8099,391.65,391.78,75445,1616524680000
457,391.79,391.84,391.77,391.81,110764,1616524740000
458,391.82,391.9113,391.51,391.5499,230897,1616524800000
459,391.545,391.63,391.5,391.52,83129,1616524860000
460,391.53,391.57,391.24,391.325,265020,1616524920000
461,391.33,391.46,391.31,391.4,128227,1616524980000
462,391.41,391.58,391.39,391.475,125535,1616525040000
463,391.46,391.47,391.27,391.33,165307,1616525100000
464,391.335,391.47,391.31,391.4,95291,1616525160000
465,391.4,391.46,391.32,391.4199,87245,1616525220000
466,391.43,391.49,391.4,391.4855,83419,1616525280000
467,391.49,391.66,391.47,391.62,123935,1616525340000
468,391.62,391.62,391.3,391.3601,215609,1616525400000
469,391.35,391.36,391.25,391.32,121249,1616525460000
470,391.31,391.378,391.28,391.31,83663,1616525520000
471,391.3,391.385,391.24,391.29,91046,1616525580000
472,391.28,391.31,391.12,391.12,289456,1616525640000
473,391.125,391.17,390.85,390.87,397690,1616525700000
474,390.87,390.88,390.69,390.74,236000,1616525760000
475,390.73,390.87,390.72,390.8211,129007,1616525820000
476,390.83,390.84,390.66,390.7299,130625,1616525880000
477,390.73,390.75,390.46,390.49,203166,1616525940000
478,390.49,390.59,390.41,390.5,191658,1616526000000
479,390.48,390.48,390.215,390.23,218623,1616526060000
480,390.2301,390.46,390.1,390.46,454494,1616526120000
481,390.46,390.8,390.45,390.7117,326049,1616526180000
482,390.72,390.82,390.65,390.8101,220138,1616526240000
483,390.82,390.95,390.74,390.86,176373,1616526300000
484,390.85,390.95,390.8301,390.9119,102712,1616526360000
485,390.92,390.935,390.8,390.84,131366,1616526420000
486,390.84,390.84,390.515,390.54,175416,1616526480000
487,390.55,390.6,390.43,390.4881,129815,1616526540000
488,390.49,390.58,390.27,390.29,202175,1616526600000
489,390.28,390.44,390.08,390.25,403045,1616526660000
490,390.2502,390.3287,390.07,390.13,175246,1616526720000
491,390.13,390.25,390.08,390.17,220922,1616526780000
492,390.17,390.195,389.93,389.9355,214609,1616526840000
493,389.935,389.96,389.8,389.805,301074,1616526900000
494,389.8011,389.89,389.64,389.71,441996,1616526960000
495,389.705,390.04,389.7,389.9899,249429,1616527020000
496,389.98,390.1178,389.91,390.09,246687,1616527080000
497,390.1,390.11,389.81,389.907,165576,1616527140000
498,389.9,389.91,389.65,389.685,263917,1616527200000
499,389.69,389.78,389.54,389.685,267725,1616527260000
500,389.69,389.69,389.48,389.492,272932,1616527320000
501,389.49,389.62,389.33,389.36,346666,1616527380000
502,389.36,389.43,389.2201,389.25,250767,1616527440000
503,389.24,389.25,389.02,389.0699,270584,1616527500000
504,389.06,389.55,389.05,389.485,340659,1616527560000
505,389.48,389.687,389.41,389.6101,315408,1616527620000
506,389.61,389.71,389.47,389.595,182384,1616527680000
507,389.59,389.595,389.34,389.39,256108,1616527740000
508,389.39,389.58,389.19,389.435,392717,1616527800000
509,389.43,389.45,389.175,389.18,320574,1616527860000
510,389.17,389.17,389.0,389.1089,324321,1616527920000
511,389.11,389.4,389.11,389.1499,312669,1616527980000
512,389.16,389.28,389.04,389.05,232852,1616528040000
513,389.0389,389.065,388.75,388.755,363920,1616528100000
514,388.76,388.99,388.74,388.92,296315,1616528160000
515,388.92,389.25,388.895,389.155,305145,1616528220000
516,389.15,389.29,389.13,389.22,280051,1616528280000
517,389.22,389.24,388.84,388.98,195558,1616528340000
518,389.0,389.225,388.8011,389.225,334318,1616528400000
519,389.23,389.44,388.97,389.22,477881,1616528460000
520,389.22,389.29,389.07,389.23,311412,1616528520000
521,389.23,389.29,388.97,389.1,308100,1616528580000
522,389.09,389.285,388.98,389.23,257247,1616528640000
523,389.22,389.365,389.2,389.36,326898,1616528700000
524,389.36,389.48,389.115,389.468,557285,1616528760000
525,389.46,389.73,389.43,389.7,635317,1616528820000
526,389.7,389.7819,389.5375,389.605,539792,1616528880000
527,389.6,389.69,389.27,389.35,596635,1616528940000
528,389.35,389.35,388.66,388.76,1189298,1616529000000
529,388.76,389.09,388.7301,389.0,688618,1616529060000
530,389.005,389.095,388.76,388.775,594262,1616529120000
531,388.76,389.42,388.76,389.38,890075,1616529180000
532,389.39,389.6,389.33,389.59,834556,1616529240000
533,389.58,389.71,389.34,389.35,738214,1616529300000
534,389.35,389.78,389.35,389.71,708784,1616529360000
